CLUSTER_ID,TRAJECTORY_ID,EASTINGS_M,NORTHINGS_M,ALTITUDE_M
1,1,-56908.72424,4645895.323,2550
1,1,-57396.27145,4645864.45,2950
1,1,-57867.22234,4645828.357,3325
1,1,-58830.04992,4645761.059,3900
1,1,-59305.97169,4645742.846,4175
1,1,-59859.50334,4645833.466,4450
1,1,-60347.05055,4646063.125,4600
1,1,-60957.50681,4646637.608,4775
1,1,-61313.48603,4647245.073,4900
1,1,-61537.97743,4647923.724,4950
1,1,-61662.16928,4648718.427,4950
1,1,-60632.07446,4651944.878,5975
1,1,-59987.38326,4652611.314,6425
1,1,-58835.58203,4653373.366,7125
1,1,-57563.83825,4653912.311,7800
1,1,-56072.57395,4654283.343,8550
1,1,-55086.49547,4654374.074,8975
1,1,-54205.68743,4654349.42,9325
1,1,-53220.25036,4654227.482,9725
1,1,-51713.67254,4653998.711,10300
1,1,-49320.11316,4653629.679,11100
1,1,-46268.3931,4653124.272,11925
1,1,-43461.36867,4652673.171,12400
1,1,-38007.51046,4651825.384,13250
1,1,-24743.59644,4649788.543,16700
1,1,-17095.6555,4648610.038,18600
1,1,-2067.639954,4646267.687,21800
1,1,13501.15934,4644065.708,24675
1,1,29498.01562,4643683.905,27375
1,1,47428.54462,4642757.492,29750
1,1,64957.15383,4641503.026,32400
1,1,82021.46673,4640146.613,35200
1,1,99059.48206,4638766.322,37325
1,1,115880.3821,4637375.149,38925
1,1,132851.1302,4635936.444,39000
1,1,149747.2349,4634462.203,39000
1,1,166658.0117,4632947.315,39000
1,1,183681.3549,4631394.225,39000
1,1,201266.8888,4629744.962,39000
1,1,218289.5906,4628095.81,39000
1,1,235076.8169,4626426.224,39000
1,1,252454.3755,4624645.695,39000
1,1,269234.8671,4622879.492,39000
1,1,286830.7436,4620982.024,39000
1,1,303402.6987,4619196.053,39000
1,1,320268.8178,4618677.542,39000
1,1,337139.8276,4618214.891,39000
1,1,354631.1552,4617528.578,39000
1,1,371567.5881,4616745.647,39000
1,1,389113.9963,4615886.533,39000
1,1,406090.1963,4615027.419,39000
1,1,423046.2723,4614132.657,39000
1,1,440065.3662,4613222.348,39000
1,1,457023.206,4612261.953,39000
1,1,473634.2868,4611268.019,39000
1,1,491056.5032,4610198.014,39000
1,1,508601.6285,4609102.022,39000
1,1,525234.6774,4608016.247,39000
1,1,541983.9808,4606873.279,39000
1,1,559459.3534,4605633.25,39000
1,1,575960.9145,4604422.984,39000
1,1,593351.3011,4603104.995,39000
1,1,609989.3209,4601802.332,39000
1,1,627444.4894,4600386.504,39000
1,1,644127.1669,4598989.778,39000
1,1,661486.9265,4597498.989,39000
1,1,678007.409,4596029.856,39000
1,1,695153.7414,4594466.215,39000
1,1,711709.7416,4592913.569,39000
1,1,728074.9241,4591332.494,39000
1,1,745305.04,4589627.371,39000
1,1,761642.0809,4587972.222,39000
1,1,778894.8062,4586168.816,39000
1,1,795123.5301,4584442.037,39000
1,1,812059.4018,4582591.211,39000
1,1,828516.9465,4580748.381,39000
1,1,845561.1354,4578796.718,39000
